Task name,Task description,Start time,End time,Duration,Duration in hours,Note,Category
"RubyProject ","",2018-10-02 8:06 PM,2018-10-02 8:06 PM,<01',0.00114667,"","Programming "
"RubyProject ","",2018-10-02 8:06 PM,2018-10-02 8:43 PM,00:37',0.61688500,"","Programming "
"Writing","",2018-10-03 7:53 AM,2018-10-03 8:29 AM,00:36',0.60313250,"",""
"Writing","",2018-10-03 10:37 AM,2018-10-03 11:07 AM,00:30',0.50000000,"",""
"Writing","",2018-10-03 12:03 PM,2018-10-03 12:33 PM,00:30',0.50000000,"",""
"Writing","",2018-10-03 8:20 PM,2018-10-03 8:48 PM,00:27',0.46062472,"",""
"Writing","",2018-10-04 1:04 PM,2018-10-04 1:56 PM,00:52',0.86708806,"",""
"RubyProject ","",2018-10-05 3:06 PM,2018-10-05 4:55 PM,01:49',1.82500000,"","Programming "
"RubyProject ","",2018-10-05 7:57 PM,2018-10-05 9:06 PM,01:09',1.15285556,"","Programming "
"Studying","",2018-10-06 12:01 PM,2018-10-06 12:31 PM,00:30',0.51416667,"",""
"Studying","",2018-10-06 12:32 PM,2018-10-06 1:48 PM,01:16',1.26744639,"",""
"Studying","",2018-10-06 3:42 PM,2018-10-06 5:10 PM,01:28',1.47528361,"",""
"Studying","",2018-10-06 6:22 PM,2018-10-06 7:23 PM,01:01',1.02216917,"",""
"Studying","",2018-10-07 12:01 PM,2018-10-07 1:02 PM,01:00',1.01232111,"",""
"Studying","",2018-10-07 2:36 PM,2018-10-07 3:21 PM,00:44',0.74254278,"",""
"Studying","",2018-10-07 7:18 PM,2018-10-07 7:44 PM,00:25',0.43126583,"",""
"Studying","",2018-10-07 8:18 PM,2018-10-07 8:48 PM,00:29',0.49541083,"",""
"Studying","",2018-10-08 10:38 AM,2018-10-08 11:32 AM,00:54',0.90483500,"",""
"Studying","",2018-10-08 11:40 AM,2018-10-08 1:01 PM,01:20',1.34141639,"",""
"Studying","",2018-10-08 2:02 PM,2018-10-08 3:10 PM,01:07',1.13249750,"",""
"Studying","",2018-10-08 3:39 PM,2018-10-08 4:27 PM,00:48',0.80209028,"",""
"Studying","",2018-10-08 4:40 PM,2018-10-08 4:40 PM,<01',0.00042278,"",""
"Studying","",2018-10-08 4:40 PM,2018-10-08 5:01 PM,00:21',0.35359222,"",""
"RubyProject ","",2018-10-08 8:05 PM,2018-10-08 8:42 PM,00:37',0.62704306,"","Programming "
"RubyProject ","",2018-10-08 8:45 PM,2018-10-08 8:48 PM,00:03',0.05722639,"","Programming "
"Studying","",2018-10-09 6:07 PM,2018-10-09 6:56 PM,00:48',0.81458028,"",""
"Studying","",2018-10-09 7:05 PM,2018-10-09 7:13 PM,00:08',0.14523333,"",""
"Studying","",2018-10-09 7:16 PM,2018-10-09 7:28 PM,00:11',0.19950611,"",""
"Studying","",2018-10-09 8:44 PM,2018-10-09 9:09 PM,00:24',0.41524889,"",""
"Studying","",2018-10-09 9:16 PM,2018-10-09 9:41 PM,00:25',0.41718889,"",""
"Studying","",2018-10-09 10:20 PM,2018-10-09 10:46 PM,00:25',0.42631750,"",""
"RubyProject ","",2018-10-12 5:37 PM,2018-10-12 5:37 PM,<01',0.00024111,"","Programming "
"RubyProject ","",2018-10-12 5:38 PM,2018-10-12 5:38 PM,<01',0.00019139,"","Programming "
"RubyProject ","",2018-10-12 5:38 PM,2018-10-12 5:38 PM,<01',0.00018333,"","Programming "
"RubyProject ","",2018-10-12 5:38 PM,2018-10-12 6:13 PM,00:34',0.58021500,"","Programming "
"RubyProject ","",2018-10-12 6:36 PM,2018-10-12 8:00 PM,01:23',1.39695639,"","Programming "
"Studying","",2018-10-13 12:28 PM,2018-10-13 1:54 PM,01:25',1.43184639,"",""
"Studying","",2018-10-13 2:37 PM,2018-10-13 3:01 PM,00:23',0.39612889,"",""
"Studying","",2018-10-13 3:04 PM,2018-10-13 3:12 PM,00:07',0.12423306,"",""
"Studying","",2018-10-13 3:29 PM,2018-10-13 3:45 PM,00:16',0.26671111,"",""
"Studying","",2018-10-13 3:49 PM,2018-10-13 4:04 PM,00:15',0.26591139,"",""
"Studying","",2018-10-13 5:08 PM,2018-10-13 5:52 PM,00:44',0.74401083,"",""
"Studying","",2018-10-15 2:10 PM,2018-10-15 4:43 PM,02:32',2.54042417,"",""
"RubyProject ","",2018-10-15 6:47 PM,2018-10-15 7:11 PM,00:23',0.39329194,"","Programming "
"RubyProject ","",2018-10-15 7:21 PM,2018-10-15 8:25 PM,01:04',1.07219028,"","Programming "
"Writing","",2018-10-16 12:58 PM,2018-10-16 1:49 PM,00:51',0.85633639,"",""
"Studying","",2018-10-16 5:32 PM,2018-10-16 5:55 PM,00:23',0.38595167,"",""
"Studying","",2018-10-16 6:04 PM,2018-10-16 7:52 PM,01:48',1.80050139,"",""
"Studying","",2018-10-17 4:23 PM,2018-10-17 5:32 PM,01:09',1.15132028,"",""
"RubyProject ","",2018-10-17 7:59 PM,2018-10-17 8:45 PM,00:45',0.76626194,"","Programming "
"Studying","",2018-10-18 5:10 PM,2018-10-18 5:56 PM,00:46',0.77495889,"",""
"Studying","",2018-10-18 6:28 PM,2018-10-18 7:43 PM,01:15',1.25150139,"",""
"Writing","",2018-10-19 4:52 PM,2018-10-19 5:33 PM,00:40',0.67650333,"",""
"Writing","",2018-10-20 5:06 PM,2018-10-20 5:06 PM,<01',0.00025306,"",""
"Writing","",2018-10-20 5:06 PM,2018-10-20 5:46 PM,00:39',0.66576500,"",""
"Studying","",2018-10-21 11:04 AM,2018-10-21 11:56 AM,00:51',0.86467639,"",""
"Studying","",2018-10-21 12:31 PM,2018-10-21 1:42 PM,01:10',1.17535222,"",""
"Studying","",2018-10-21 5:58 PM,2018-10-21 7:11 PM,01:13',1.22018722,"",""
"Studying","",2018-10-22 7:16 PM,2018-10-22 7:16 PM,<01',0.00029583,"",""
"Studying","",2018-10-22 7:16 PM,2018-10-22 7:48 PM,00:32',0.53956556,"",""
"Studying","",2018-10-22 8:15 PM,2018-10-22 8:35 PM,00:19',0.33126528,"",""
"Studying","",2018-10-23 10:41 AM,2018-10-23 11:21 AM,00:39',0.65665361,"",""
"Studying","",2018-10-23 11:41 AM,2018-10-23 11:41 AM,<01',0.00075417,"",""
"Studying","",2018-10-23 11:41 AM,2018-10-23 12:04 PM,00:22',0.38205750,"",""
"RubyProject ","",2018-10-23 6:40 PM,2018-10-23 6:40 PM,<01',0.00029583,"","Programming "
"RubyProject ","",2018-10-23 6:40 PM,2018-10-23 6:40 PM,<01',0.00047944,"","Programming "
"RubyProject ","",2018-10-23 6:40 PM,2018-10-23 7:03 PM,00:23',0.39134028,"","Programming "
"Writing","",2018-10-24 2:11 PM,2018-10-24 1:42 PM,<01',-0.48125889,"",""
"Writing","",2018-10-24 5:23 PM,2018-10-24 5:23 PM,<01',0.00022583,"",""
"Studying","",2018-10-24 5:23 PM,2018-10-24 5:53 PM,00:29',0.49646889,"",""
"Comic work","Gym",2018-10-24 6:36 PM,2018-10-24 6:36 PM,<01',0.00020861,"",""
"RubyProject ","",2018-10-24 6:36 PM,2018-10-24 8:05 PM,01:29',1.48831167,"","Programming "
"Studying","",2018-10-28 12:16 PM,2018-10-28 12:28 PM,00:11',0.19950167,"",""
"Studying","",2018-10-28 12:33 PM,2018-10-28 12:33 PM,<01',0.00016667,"",""
"Studying","",2018-10-28 12:33 PM,2018-10-28 1:36 PM,01:02',1.03594250,"",""
"Studying","",2018-10-28 2:48 PM,2018-10-28 3:18 PM,00:29',0.48730972,"",""
"Studying","",2018-10-28 3:27 PM,2018-10-28 4:57 PM,01:29',1.48474389,"",""
"Studying","",2018-10-28 5:59 PM,2018-10-28 6:33 PM,00:34',0.56925528,"",""
"Writing","",2018-10-29 7:07 PM,2018-10-29 7:11 PM,00:04',0.07030722,"",""
"Writing","",2018-10-29 7:58 PM,2018-10-29 8:41 PM,00:43',0.71746528,"",""
"Writing","",2018-10-31 7:43 AM,2018-10-31 8:24 AM,00:40',0.67281028,"",""
"Studying","",2018-10-31 8:09 PM,2018-10-31 9:33 PM,01:23',1.39665139,"",""
"Writing","",2018-11-01 12:23 PM,2018-11-01 12:23 PM,<01',0.01381083,"",""
"Studying","",2018-11-03 12:18 PM,2018-11-03 12:55 PM,00:37',0.61844639,"",""
"Studying","",2018-11-03 12:57 PM,2018-11-03 1:26 PM,00:29',0.49037778,"",""
"Studying","",2018-11-03 1:34 PM,2018-11-03 2:02 PM,00:27',0.46254806,"",""
"Studying","",2018-11-03 4:32 PM,2018-11-03 5:33 PM,01:00',1.01345917,"",""
"Studying","",2018-11-03 5:44 PM,2018-11-03 6:07 PM,00:22',0.38324361,"",""
"Studying","",2018-11-03 7:00 PM,2018-11-03 8:37 PM,01:36',1.60889250,"",""
"Writing","",2018-11-04 9:16 AM,2018-11-04 10:07 AM,00:51',0.85052833,"",""
"Studying","",2018-11-04 11:24 AM,2018-11-04 12:28 PM,01:03',1.05551361,"",""
"Studying","",2018-11-04 12:42 PM,2018-11-04 1:28 PM,00:46',0.77638750,"",""
"Studying","",2018-11-04 3:17 PM,2018-11-04 4:04 PM,00:46',0.77862639,"",""
"Studying","",2018-11-04 4:08 PM,2018-11-04 4:18 PM,00:09',0.16261167,"",""
"Studying","",2018-11-04 5:00 PM,2018-11-04 5:59 PM,00:58',0.98103917,"",""
"Studying","",2018-11-04 6:28 PM,2018-11-04 8:25 PM,01:57',1.95905556,"",""
"Studying","",2018-11-04 10:56 PM,2018-11-04 11:48 PM,00:52',0.86729917,"",""
"Studying","",2018-11-06 11:08 AM,2018-11-06 12:49 PM,01:41',1.68895361,"",""
"Studying","",2018-11-06 5:15 PM,2018-11-06 6:13 PM,00:58',0.96722139,"",""
"Studying","",2018-11-06 6:35 PM,2018-11-06 7:00 PM,00:24',0.41289222,"",""
"Studying","",2018-11-06 7:17 PM,2018-11-06 9:59 PM,02:41',2.69481778,"",""
"Writing","",2018-11-07 8:12 AM,2018-11-07 8:32 AM,00:20',0.34306083,"",""
"Studying","",2018-11-09 10:50 AM,2018-11-09 11:25 AM,00:35',0.59818694,"",""
"Writing","",2018-11-09 2:17 PM,2018-11-09 2:55 PM,00:37',0.63083083,"",""
"Writing","",2018-11-10 4:42 PM,2018-11-10 5:32 PM,00:50',0.84299500,"",""
"Writing","",2018-11-10 5:45 PM,2018-11-10 5:52 PM,00:07',0.13102778,"",""
"Studying","",2018-11-11 8:58 AM,2018-11-11 9:29 AM,00:31',0.52245778,"",""
"Studying","",2018-11-11 10:16 AM,2018-11-11 11:29 AM,01:13',1.21925611,"",""
"RubyProject ","",2018-11-11 6:42 PM,2018-11-11 8:31 PM,01:48',1.81019222,"","Programming "
"RubyProject ","",2018-11-12 7:46 PM,2018-11-12 8:57 PM,01:10',1.18299306,"","Programming "
"Studying","",2018-11-13 7:34 PM,2018-11-13 8:34 PM,01:00',1.00870944,"",""
"Writing","",2018-11-14 8:26 AM,2018-11-14 8:56 AM,00:30',0.50000000,"",""
"Writing","",2018-11-14 8:55 AM,2018-11-14 8:25 AM,<01',-0.48671472,"",""
"Studying","",2018-11-15 12:58 PM,2018-11-15 1:15 PM,00:17',0.28367778,"",""
"Studying","",2018-11-15 5:07 PM,2018-11-15 5:49 PM,00:41',0.69733611,"",""
"Studying","",2018-11-18 11:08 AM,2018-11-18 12:16 PM,01:08',1.13815222,"",""
"Studying","",2018-11-18 12:29 PM,2018-11-18 12:44 PM,00:14',0.24831444,"",""
"Studying","",2018-11-18 1:10 PM,2018-11-18 1:33 PM,00:22',0.37901861,"",""
"Studying","",2018-11-18 3:14 PM,2018-11-18 4:07 PM,00:53',0.88505972,"",""
"Studying","",2018-11-18 4:53 PM,2018-11-18 5:21 PM,00:27',0.45286917,"",""
"Comic work","Gym",2018-11-21 4:35 PM,2018-11-21 4:37 PM,00:01',0.02902500,"",""
"Comic work","Gym",2018-11-21 5:15 PM,2018-11-21 6:03 PM,00:48',0.80002306,"",""
"Studying","",2018-11-21 8:36 PM,2018-11-21 9:06 PM,00:30',0.50000000,"",""
"Comic work","Gym",2018-11-21 8:36 PM,2018-11-21 9:35 PM,00:59',0.98419167,"",""
"Comic work","Gym",2018-11-21 9:38 PM,2018-11-21 9:54 PM,00:15',0.25474722,"",""
"Comic work","Gym",2018-11-22 11:03 AM,2018-11-22 12:40 PM,01:37',1.62294472,"",""
"Comic work","Gym",2018-11-23 11:14 AM,2018-11-23 11:44 AM,00:29',0.49608639,"",""
"Studying","",2018-11-23 1:52 PM,2018-11-23 2:40 PM,00:47',0.79772361,"",""
"Studying","",2018-11-23 5:14 PM,2018-11-23 5:37 PM,00:22',0.37715806,"",""
"Writing","",2018-11-24 4:18 PM,2018-11-24 5:28 PM,01:10',1.16829111,"",""
"Comic work","Gym",2018-11-24 5:28 PM,2018-11-24 6:07 PM,00:38',0.64897833,"",""
"Studying","",2018-11-25 1:16 PM,2018-11-25 1:22 PM,00:05',0.09969028,"",""
"Studying","",2018-11-25 1:57 PM,2018-11-25 2:56 PM,00:59',0.98624750,"",""
"Studying","",2018-11-25 5:04 PM,2018-11-25 5:30 PM,00:26',0.44171444,"",""
"Comic work","Gym",2018-11-25 6:16 PM,2018-11-25 7:29 PM,01:12',1.21620889,"",""
"Writing","",2018-11-26 10:02 AM,2018-11-26 1:55 PM,03:53',3.88522528,"",""
"Studying","",2018-11-27 11:24 AM,2018-11-27 12:18 PM,00:54',0.90023028,"",""
