Task name,Task description,Start time,End time,Duration,Duration in hours,Note,Tag
"Studying","",2019-04-14 11:08 AM,2019-04-14 12:05 PM,00:56',0.94878722,"",""
"Studying","",2019-04-14 12:05 PM,2019-04-14 12:05 PM,<01',0.00019972,"",""
"Studying","",2019-04-14 12:05 PM,2019-04-14 1:04 PM,00:58',0.98215194,"",""
"Studying","",2019-04-14 3:46 PM,2019-04-14 4:24 PM,00:38',0.64235139,"",""
"Studying","",2019-04-14 4:56 PM,2019-04-14 6:24 PM,01:28',1.46934944,"",""
"Website ","",2019-04-14 6:26 PM,2019-04-14 7:21 PM,00:54',0.90569778,"",""
"RubyProject ","",2019-04-15 11:54 AM,2019-04-15 1:01 PM,01:07',1.11753861,"","Programming "
"RubyProject ","",2019-04-15 1:20 PM,2019-04-15 2:07 PM,00:47',0.78335167,"","Programming "
"RubyProject ","",2019-04-15 2:46 PM,2019-04-15 3:31 PM,00:45',0.75000000,"","Programming "
"RubyProject ","",2019-04-15 3:34 PM,2019-04-15 4:28 PM,00:54',0.91124111,"","Programming "
"Writing","",2019-04-16 12:18 PM,2019-04-16 12:18 PM,<01',0.00022361,"",""
"Writing","",2019-04-16 12:18 PM,2019-04-16 12:28 PM,00:09',0.16357861,"",""
"RubyProject ","",2019-04-16 12:28 PM,2019-04-16 12:45 PM,00:17',0.28572194,"","Programming "
"Writing","",2019-04-16 12:45 PM,2019-04-16 1:26 PM,00:40',0.67438694,"",""
"Writing","",2019-04-16 3:59 PM,2019-04-16 4:41 PM,00:42',0.70325472,"",""
"RubyProject ","",2019-04-17 7:12 PM,2019-04-17 8:10 PM,00:57',0.96084306,"","Programming "
"RubyProject ","",2019-04-18 9:30 AM,2019-04-18 10:56 AM,01:26',1.44083917,"","Programming "
"RubyProject ","",2019-04-18 2:18 PM,2019-04-18 3:51 PM,01:32',1.54371583,"","Programming "
"RubyProject ","",2019-04-18 4:02 PM,2019-04-18 4:57 PM,00:54',0.91054556,"","Programming "
"Writing","",2019-04-19 12:35 PM,2019-04-19 1:35 PM,01:00',1.00801250,"",""
"Writing","",2019-04-19 1:45 PM,2019-04-19 2:00 PM,00:14',0.24275806,"",""
"Film work","Housework",2019-04-19 2:00 PM,2019-04-19 2:34 PM,00:33',0.56280722,"",""
"Writing","",2019-04-19 3:54 PM,2019-04-19 3:54 PM,<01',0.00017361,"",""
"Writing","",2019-04-19 3:54 PM,2019-04-19 3:57 PM,00:02',0.03886806,"",""
"RubyProject ","",2019-04-19 3:57 PM,2019-04-19 3:57 PM,<01',0.00034000,"","Programming "
"Writing","",2019-04-19 7:10 PM,2019-04-19 7:51 PM,00:40',0.67693250,"",""
"Writing","",2019-04-19 8:04 PM,2019-04-19 8:23 PM,00:19',0.31915528,"",""
"Writing","",2019-04-19 8:27 PM,2019-04-19 8:34 PM,00:07',0.12624333,"",""
"Writing","",2019-04-19 8:53 PM,2019-04-19 9:06 PM,00:12',0.20837917,"",""
