Task name,Task description,Start time,End time,Duration,Duration in hours,Note,Tag
"Studying","",2019-04-23 12:59 PM,2019-04-23 12:59 PM,<01',0.00032833,"",""
"Writing","",2019-04-23 12:59 PM,2019-04-23 1:20 PM,00:20',0.34616444,"",""
"Writing","",2019-04-23 1:21 PM,2019-04-23 2:00 PM,00:38',0.64780917,"",""
"RubyProject ","",2019-04-23 2:11 PM,2019-04-23 2:28 PM,00:16',0.27990889,"","Programming "
"RubyProject ","",2019-04-23 2:28 PM,2019-04-23 2:28 PM,<01',0.00017833,"","Programming "
"RubyProject ","",2019-04-23 2:28 PM,2019-04-23 2:51 PM,00:23',0.38370222,"","Programming "
"RubyProject ","",2019-04-23 3:04 PM,2019-04-23 3:51 PM,00:46',0.78081250,"","Programming "
"Writing","",2019-04-23 4:08 PM,2019-04-23 4:48 PM,00:39',0.65942806,"",""
"RubyProject ","",2019-04-23 5:01 PM,2019-04-23 5:10 PM,00:09',0.15405667,"","Programming "
"RubyProject ","",2019-04-23 5:10 PM,2019-04-23 5:10 PM,<01',0.00013694,"","Programming "
"RubyProject ","",2019-04-24 11:34 AM,2019-04-24 11:55 AM,00:21',0.35025472,"","Programming "
"Studying","",2019-04-24 12:18 PM,2019-04-24 12:24 PM,00:05',0.09921528,"",""
"RubyProject ","",2019-04-24 12:25 PM,2019-04-24 1:24 PM,00:59',0.98456417,"","Programming "
"RubyProject ","",2019-04-24 3:34 PM,2019-04-24 4:36 PM,01:02',1.03538611,"","Programming "
"RubyProject ","",2019-04-24 4:44 PM,2019-04-24 4:44 PM,<01',0.00015389,"","Programming "
"RubyProject ","",2019-04-24 4:44 PM,2019-04-24 5:54 PM,01:09',1.16616194,"","Programming "
"RubyProject ","",2019-04-24 9:52 PM,2019-04-24 9:58 PM,00:06',0.10904222,"","Programming "
"RubyProject ","",2019-04-24 10:07 PM,2019-04-24 10:07 PM,<01',0.00022250,"","Programming "
"RubyProject ","",2019-04-24 10:07 PM,2019-04-24 10:22 PM,00:14',0.24053694,"","Programming "
"Writing","",2019-04-25 12:55 PM,2019-04-25 1:20 PM,00:25',0.42752778,"",""
"Writing","",2019-04-25 3:28 PM,2019-04-25 4:52 PM,01:23',1.39285500,"",""
"Writing","",2019-04-26 12:22 PM,2019-04-26 1:35 PM,01:12',1.21553472,"",""
"Writing","",2019-04-26 2:12 PM,2019-04-26 3:14 PM,01:01',1.01905806,"",""
"Writing","",2019-04-26 4:05 PM,2019-04-26 5:10 PM,01:04',1.07337472,"",""
"Writing","",2019-04-26 5:31 PM,2019-04-26 5:45 PM,00:14',0.23864306,"",""
"Writing","",2019-04-26 6:07 PM,2019-04-26 6:07 PM,<01',0.00022444,"",""
"Writing","",2019-04-26 6:07 PM,2019-04-26 6:31 PM,00:24',0.40052194,"",""
"Film work","Housework",2019-04-26 7:13 PM,2019-04-26 7:13 PM,<01',0.00028722,"",""
"Film work","Housework",2019-04-27 3:48 PM,2019-04-27 3:55 PM,00:06',0.11610611,"",""
"Film work","Housework",2019-04-27 6:28 PM,2019-04-27 6:47 PM,00:18',0.31373806,"",""
"Studying","",2019-04-28 12:12 PM,2019-04-28 2:28 PM,02:16',2.26912028,"",""
"Film work","Housework",2019-04-28 6:00 PM,2019-04-28 6:50 PM,00:50',0.83440611,"",""
"Writing","",2019-04-29 11:17 AM,2019-04-29 11:57 AM,00:39',0.66655611,"",""
"Studying","",2019-04-29 12:00 PM,2019-04-29 1:14 PM,01:13',1.22580000,"",""
"Studying","",2019-04-29 1:31 PM,2019-04-29 2:37 PM,01:05',1.09114278,"",""
"Studying","",2019-04-29 2:49 PM,2019-04-29 2:51 PM,00:02',0.03784583,"",""
"Studying","",2019-04-29 5:23 PM,2019-04-29 5:53 PM,00:30',0.50792417,"",""
"Studying","",2019-04-29 6:39 PM,2019-04-29 6:49 PM,00:09',0.15570694,"",""
"Writing","",2019-04-29 8:39 PM,2019-04-29 8:39 PM,<01',0.00030361,"",""
"Writing","",2019-04-29 8:39 PM,2019-04-29 9:22 PM,00:42',0.70922611,"",""
"Writing","",2019-04-29 9:31 PM,2019-04-29 10:39 PM,01:07',1.13325444,"",""
"Studying","",2019-04-30 1:15 PM,2019-04-30 1:20 PM,00:04',0.08015750,"",""
"Studying","",2019-04-30 1:24 PM,2019-04-30 2:13 PM,00:49',0.82091861,"",""
"Studying","",2019-04-30 2:22 PM,2019-04-30 2:26 PM,00:03',0.06663111,"",""
"Studying","",2019-04-30 2:35 PM,2019-04-30 3:36 PM,01:00',1.01316694,"",""
"Studying","",2019-04-30 4:18 PM,2019-04-30 4:35 PM,00:16',0.27977556,"",""
"Writing","",2019-04-30 4:35 PM,2019-04-30 4:53 PM,00:17',0.29981111,"",""
"Studying","",2019-05-01 11:31 AM,2019-05-01 12:49 PM,01:17',1.29000889,"",""
"Studying","",2019-05-01 12:58 PM,2019-05-01 1:47 PM,00:49',0.82078000,"",""
"Studying","",2019-05-01 4:17 PM,2019-05-01 4:56 PM,00:39',0.65738694,"",""
"Writing","",2019-05-02 1:12 PM,2019-05-02 2:05 PM,00:53',0.89271389,"",""
"RubyProject ","",2019-05-02 3:20 PM,2019-05-02 3:55 PM,00:35',0.58550083,"","Programming "
"RubyProject ","",2019-05-02 4:06 PM,2019-05-02 4:54 PM,00:47',0.79723972,"","Programming "
"RubyProject ","",2019-05-02 7:42 PM,2019-05-02 8:57 PM,01:15',1.25555861,"","Programming "
"RubyProject ","",2019-05-03 12:48 PM,2019-05-03 2:35 PM,01:47',1.79482639,"","Programming "
"RubyProject ","",2019-05-03 4:53 PM,2019-05-03 7:32 PM,02:38',2.64786556,"","Programming "
"RubyProject ","",2019-05-03 7:39 PM,2019-05-03 8:24 PM,00:44',0.74710972,"","Programming "
"RubyProject ","",2019-05-03 8:46 PM,2019-05-04 12:46 AM,04:00',4.00746194,"","Programming "
"RubyProject ","",2019-05-04 1:37 PM,2019-05-04 1:37 PM,<01',0.01134472,"","Programming "
"Writing","",2019-05-04 1:38 PM,2019-05-04 3:23 PM,01:45',1.75424278,"",""
"Writing","",2019-05-04 4:25 PM,2019-05-04 5:20 PM,00:55',0.91736389,"",""
"Studying","",2019-05-06 2:53 PM,2019-05-06 3:28 PM,00:34',0.57301944,"",""
"Studying","",2019-05-06 3:38 PM,2019-05-06 4:37 PM,00:59',0.98748028,"",""
